GeneSymbol,GSM1589037,GSM1589130,GSM1589132,GSM1589135,GSM1589136,GSM1589139,GSM1589142,GSM1589144,GSM1589145,GSM1589148,GSM1589150,GSM1589151
STAT3,9.33452159758175,7.186445303162783,7.313571581351205,8.387442543400898,8.088933052768038,7.391901318287765,7.689176484597198,7.84382091140197,7.8007407001569,7.305104709904447,7.70972158034205,8.257958172528802
STAT5A,8.44691286595895,9.28046354131699,8.84234798257108,8.8198162119353,7.91910955597471,8.70610409594077,8.40320833453522,9.26991861790962,8.49412741895982,8.82076111563559,8.30546091210543,8.6885476923787
SYNPO,6.66327867971225,7.087105923591977,7.097532571044966,6.89130245286487,7.175841135085123,7.109521247495176,7.08479731508676,7.366078971740268,7.082154817631303,7.785159772167263,7.715112077788921,7.82702434162648
TGFB1,5.97879415888507,5.6059125311847104,5.170885144951,6.012112272847375,5.9057172124923145,5.182130263283555,5.28680225450892,5.56354818612542,5.312558913493055,5.632006692274064,5.419440994885705,6.02358765412138
TGFBR1,7.025129423794066,6.662851223659054,6.37247533293487,6.552634486164067,6.816665594222919,6.329747119791023,7.090545307542563,6.41355320480391,7.015683860906766,6.998241327168473,6.782909624119903,6.57841257112615
TGFBR2,7.206875189815479,6.24152301052899,6.75989959875168,7.719180142511765,7.3720935418978595,6.56600672264579,7.108103226325586,7.30913482669451,6.996044525761575,7.06631557337818,7.3197645566553255,7.893777944807555
TK1,7.570783768516295,6.07995996604675,6.368913710118945,5.468692454985425,5.887789143378615,6.097648839739485,6.387628716414975,5.801549780202119,5.443733289599855,5.98612891405195,5.7761298757975705,5.693278688426965
TM4SF1,8.055974922405223,6.505165502927042,6.292398951555862,7.957393503777304,7.765964060634609,6.282541350636706,7.762321196733706,6.991449524578054,6.933198420138657,6.646095076839119,7.093510505433788,7.080936450584348
TNRC6A,7.108859857730429,6.651387476983655,6.868394372772809,7.712561155772019,7.20644295560871,6.965283397711359,6.762707606920149,7.1539687832227905,6.884064977053465,6.737415695671072,7.206487197687372,7.4932212185932014
TP53,7.01431857350818,6.088231108248859,5.74765297352026,6.975753851834019,6.467079062086115,6.41949282482115,6.4673256559141645,6.16967730015171,6.66985878119318,6.17630876277354,6.22469364658977,5.47247760586053
TRADD,6.628603762763646,7.016302675665634,6.696695014056893,6.86083165002103,6.86051068910421,6.83285118826823,6.691966752596002,6.82137490899441,6.88166671891345,6.755780566005104,6.815960746730673,6.748519719752783
TRIB3,5.8312550527215805,6.6189309717633,5.940896378252225,5.979331127821174,5.769175749002056,6.3089045958606995,6.04176747759834,5.90725842941424,6.020152380884435,5.8151905939755455,5.857945941845995,5.771629410972254
TRIM29,5.86291617767844,7.064798824672894,7.661394980748253,7.921019954070211,7.348251700293896,7.696682419283103,7.515840922718866,7.538964496227513,7.46387951338822,6.8072175289846735,7.408445194048785,6.8461720642814
TRIP13,7.74461642855318,5.77331686386854,6.05727771457185,6.06748324198346,5.03429733194996,5.16482704637248,5.47445004346825,5.33462747445599,4.94335414457468,5.57146516658022,4.96948404214765,5.25033218513396
UBE2D1,5.706948580831686,4.440969748284879,4.309058516001963,4.599585221388203,4.531023103182863,4.1939607513134005,4.585946081020327,4.378541596744867,4.632562916718417,4.39074070668078,4.613350160614357,4.568591920730347
UBQLN1,8.175638601511876,7.330021965543921,6.830848272837673,7.66856668533548,7.513418430227209,7.117938873138816,7.16352462131458,7.122069064317583,7.332287542317322,7.161978555014237,7.500168671454209,7.680182680613804
USP7,7.280538158710447,7.657299742506173,7.243371335050445,7.820488521652482,7.38872292337037,7.7593640755076105,7.211434837280406,7.4048657777174824,7.665395808544427,7.660489038144419,7.139237305625767,7.42493421852084
